id_cliente;cod_articulo_magic
0000|1599482;500264
0000|1639149;517262
0000|1592476;517297
0000|1596125;522633
0000|1590473;598801
0000|1593100;522856
0000|1708734;517263
0000|1594973;509826
0000|1837595;599228
0000|1593110;800058
0000|1594181;599587
0000|1705928;599228
0000|1722688;523278
0000|1722568;77401
0000|1797890;522721
0000|1705926;800071
0000|1638649;522512
0000|1770183;599212
0000|1600328;516209
0000|1603433;77400
0000|1599470;76643
0000|1601463;599587
0000|1600286;517297
0000|1579667;800058
0000|1639148;599590
0000|1837589;517262
0000|1593043;599212
0000|1517017;522442
0000|1587636;523439
0000|1596046;522721
0000|1602254;622631
0000|1604440;76643
0000|1524033;509826
0000|1597214;522512
0000|1813261;622631
0000|1638644;522354
0000|1590478;599832
0000|1595394;800054
0000|1591985;800060
0000|1813950;522721
0000|1705923;515614
0000|1595125;517297
0000|1812318;523278
0000|1837596;599837
0000|1600171;622631
0000|1595868;800058
0000|1837593;599228
0000|1591887;598901
0000|1601428;77401
0000|1813263;598801
0000|1597327;523595
0000|1740576;522512
0000|1837594;599831
0000|1829807;599228
0000|1604698;522353
0000|1597131;599587
0000|1602385;522632
0000|1837590;522577
0000|1796430;522576
0000|1705924;599111
0000|1639144;599587
0000|1638646;523278
0000|1813262;76643
0000|1598830;598801
0000|1639143;522632
0000|1638648;517140
0000|1602285;77400
0000|1599482;800060
0000|1639149;622631
0000|1592476;522576
0000|1596125;522354
0000|1590473;516209
0000|1593100;800058
0000|1708734;522632
0000|1594973;522633
0000|1837595;77401
0000|1593110;522632
0000|1594181;523278
0000|1705928;522576
0000|1722688;522353
0000|1722568;800058
0000|1797890;522661
0000|1705926;800058
0000|1638649;516209
0000|1770183;523439
0000|1600328;77400
0000|1603433;509826
0000|1599470;599565
0000|1601463;522713
0000|1600286;599111
0000|1579667;522353
0000|1639148;599565
0000|1837589;522721
0000|1593043;622631
0000|1517017;523595
0000|1587636;599587
0000|1596046;599587
0000|1602254;523439
0000|1604440;599587
0000|1524033;599565
0000|1597214;516209
0000|1813261;523595
0000|1638644;523278
0000|1590478;522577
0000|1595394;522442
0000|1591985;599228
0000|1813950;517146
0000|1705923;800060
0000|1595125;800054
0000|1812318;523538
0000|1837596;522354
0000|1600171;522713
0000|1595868;599832
0000|1837593;77401
0000|1591887;500264
0000|1601428;800060
0000|1813263;800054
0000|1597327;517297
0000|1740576;522577
0000|1837594;800058
0000|1829807;516209
0000|1604698;523439
0000|1597131;523439
0000|1602385;515614
0000|1837590;599212
0000|1796430;523538
0000|1705924;509826
0000|1639144;522355
0000|1638646;522442
0000|1813262;522795
0000|1598830;522633
0000|1639143;599218
0000|1638648;516209
0000|1602285;599837
0000|1599482;76643
0000|1639149;522576
0000|1592476;515614
0000|1596125;522353
0000|1590473;515614
0000|1593100;800060
0000|1708734;523439
0000|1594973;76643
0000|1837595;800054
0000|1593110;800071
0000|1594181;517263
0000|1705928;517140
0000|1722688;800058
0000|1722568;599590
0000|1797890;516209
0000|1705926;522442
0000|1638649;599228
0000|1770183;509826
0000|1600328;598901
0000|1603433;77401
0000|1599470;599212
0000|1601463;622631
0000|1600286;598901
0000|1579667;599212
0000|1639148;800071
0000|1837589;522632
0000|1593043;599587
0000|1517017;522721
0000|1587636;800060
0000|1596046;522634
0000|1602254;76643
0000|1604440;599832
0000|1524033;522577
0000|1597214;599228
0000|1813261;599212
0000|1638644;522633
0000|1590478;516209
0000|1595394;76643
0000|1591985;76643
0000|1813950;522634
0000|1705923;523278
0000|1595125;522576
0000|1812318;522355
0000|1837596;598901
0000|1600171;599212
0000|1595868;517297
0000|1837593;800054
0000|1591887;509826
0000|1601428;599832
0000|1813263;800058
0000|1597327;522442
0000|1740576;509826
0000|1837594;523439
0000|1829807;517146
0000|1604698;522577
0000|1597131;522632
0000|1602385;599228
0000|1837590;800058
0000|1796430;76643
0000|1705924;523125
0000|1639144;599212
0000|1638646;599212
0000|1813262;522373
0000|1598830;800054
0000|1639143;800058
0000|1638648;523439
0000|1602285;522661
0000|1599482;598901
0000|1639149;509826
0000|1592476;622631
0000|1596125;77401
0000|1590473;800058
0000|1593100;599590
0000|1708734;500264
0000|1594973;599587
0000|1837595;522512
0000|1593110;800060
0000|1594181;522795
0000|1705928;523538
0000|1722688;522352
0000|1722568;598901
0000|1797890;500354
0000|1705926;522354
0000|1638649;517146
0000|1770183;522512
0000|1600328;523519
0000|1603433;522722
0000|1599470;517263
0000|1601463;517146
0000|1600286;522442
0000|1579667;599587
0000|1639148;516209
0000|1837589;800058
0000|1593043;800071
0000|1517017;522577
0000|1587636;523595
0000|1596046;515614
0000|1602254;599876
0000|1604440;522355
0000|1524033;76643
0000|1597214;517146
0000|1813261;599228
0000|1638644;800058
0000|1590478;598901
0000|1595394;800058
0000|1591985;522633
0000|1813950;522352
0000|1705923;517146
0000|1595125;500354
0000|1812318;522856
0000|1837596;517263
0000|1600171;599228
0000|1595868;522576
0000|1837593;522512
0000|1591887;522352
0000|1601428;800058
0000|1813263;517297
0000|1597327;522795
0000|1740576;522713
0000|1837594;522856
0000|1829807;523595
0000|1604698;509826
0000|1597131;523595
0000|1602385;522795
0000|1837590;523595
0000|1796430;800060
0000|1705924;800058
0000|1639144;522577
0000|1638646;522634
0000|1813262;517146
0000|1598830;522632
0000|1639143;522512
0000|1638648;522353
0000|1602285;77401
0000|1599482;599228
0000|1639149;599565
0000|1592476;800060
0000|1596125;599590
0000|1590473;517297
0000|1593100;509826
0000|1708734;523595
0000|1594973;523278
0000|1837595;523125
0000|1593110;599876
0000|1594181;516209
0000|1705928;800058
0000|1722688;517146
0000|1722568;522512
0000|1797890;599587
0000|1705926;522856
0000|1638649;523538
0000|1770183;522721
0000|1600328;522661
0000|1603433;599590
0000|1599470;515614
0000|1601463;522632
0000|1600286;800071
0000|1579667;509826
0000|1639148;599587
0000|1837589;598901
0000|1593043;522632
0000|1517017;522632
0000|1587636;599111
0000|1596046;522633
0000|1602254;599587
0000|1604440;522633
0000|1524033;522634
