cod_articulo_magic,desc_articulo
69312,BASE DE BEBIDA CARBONATADA COLA ZERO BG-MX-170510  (PARA MTY)
69361,BASE PARA BEBIDA JARABEADA CARBONATADA LIMONADA CERO  BG-MX-170505
70493,BASE PARA BEBIDA JARABEADA CARBONATADA COLA BG-MX-180535
70671,BASE PARA BEBIDA CARBONATADA NARANJA MY BRAND BG-MX-180543
72234,BASE PARA BEBIDA ALCOHOLICA LOS JEFES BA-MX-190612/1U
72363,BASE PARA BEBIDA CARBONATADA MANZANA SIN AZUCAR AURRERA BG-MX-190604/2U
73000,BASE PARA BEBIDA DE MANGO 72772 - PARTE 3
73057,BASE PARA BEBIDA DE GUAYABA 72749 - PARTE 4
73145,BASE PARA BEBIDA ENERGY BLUE PLUS 73145
73169,BASE PARA BEBIDA ENERGY YELLOW SIN AZÚCAR 73169
73194,BASE PARA BEBIDA DE TÉ NEGRO 73193 - PARTE 2
73195,BASE PARA BEBIDA DE TÉ  NEGRO 73193 - PARTE 3
73253,BASE PARA BEBIDA CON ADICIÓN DE ELECTROLITOS BR-MX-190611 CÓD. 73253
73318,BASE PARA BEBIDA CITRUS PUNCH 73315 - PARTE 4
73378,BASE PARA BEBIDA ENERGY PINK 73375 - PARTE 4
73397,BASE PARA BEBIDA ENERGY RED PLUS 73395 - PARTE 3
73824,BASE PARA BEBIDA JARABEADA CARBONATADA TORONJA 73824
73826,BASE PARA BEBIDA JARABEADA CARBONATADA TORONJA 73824 - PARTE 3
73905,BASE PARA BEBIDA DE GUAYABA CM 73903 - PARTE 3
74049,BASE PARA BEBIDA ENERGY BLUEBERRY 74048 - PARTE 2
74050,BASE PARA BEBIDA ENERGY BLUEBERRY 74048 - PARTE 3
74152,BASE PARA BEBIDA JARABEADA CARBONATADA SHAMPAN 74152
74154,BASE PARA BEBIDA JARABEADA CARBONATADA SHAMPAN 74152 - PARTE 3
74394,BASE PARA BEBIDA ENERGY AGAVE 74391 - PARTE 4
74601,BASE PARA BEBIDA VOLT YELLOW E 600 74600 - PARTE 2
74603,BASE PARA BEBIDA VOLT YELLOW E 600 74600 - PARTE 4
75092,BASE PARA AGUA SABORIZADA PI¥A COCO GREAT VALUE 75092
75093,BASE PARA AGUA SABORIZADA PI¥A COCO GREAT VALUE 75092 - PARTE 2
75095,CONCENTRADO PARA REFRESCO CITRUS PUNCH 75095
76356,BASE PARA BEBIDA VOLT PINK M 76356
76605,BASE PARA BEBIDA CITRUS AURRERA SIN AZÚCAR 76605
76623,COMPLEMENTO PARA ALOE VERA 49804
3000094,JARABE TERMINADO CIFRUT MANGO SIN AZÚCAR
3000111,JARABE TERMINADO VOLT YELLOW ECONÓMICO - ALTERNATIVO
3000136,JARABE TERMINADO FREE LIFE MANZANA - MAQUILA
3000167,JARABE TERMINADO GREAT VALUE AGUA SABORIZADA PI¥A COCO - MAQUILA
3000304,JARABE TERMINADO VOLT DARK - MAQUILA REFRESCOS
3000324,JARABE TERMINADO VOLT PINK - MAQUILA REFRESCOS
3000445,JARABE TERMINADO AMAYU ENERGY MACA - MAQUILA
3000466,JARABE TERMINADO CIFRUT MANZANA SIN AZÚCAR - MAQUILA
3000590,JARABE TERMINADO CIFRUT BLUEBERRY SIN AZÚCAR
76844,BASE PARA BEBIDA AMAYU GUAYUSA 76843 - PARTE 2
76980,BASE PARA BEBIDA AMAYU CAMU CAMU 76977 - PARTE 4
77488,BASE PARA BEBIDA DE MANZANA SIN AZÚCAR C 77485 - PARTE 4
78571,BASE PARA BEBIDA CON ADICIÓN DE ELECTROLITOS 3B 78010 - PARTE 2
78573,BASE PARA BEBIDA CON ADICIÓN DE ELECTROLITOS 3B 78010 - PARTE 4
79020,BASE PARA BEBIDA JARABEADA CARBONATADA PI¥A 76728
79021,BASE PARA BEBIDA JARABEADA CARBONATADA PI¥A 76728 - PARTE 2
46759,SABOR GUARANA COD20662
48073,LATA NEW MIX PALOMA 5° 473ML / 16 OZ
48157,TAPA PLASTICA AZUL REY CORTA GRABADO AJE PT
48191,JARABE TERM NEW MIX TORONJA
48215,BASE DE BEBIDA GASIFICADA BIG FRESH NARANJA BG-MX-130331/2U PT
48437,TAPA PLASTICA VERDE CORTA GRABADO AJE PT
49277,PLACA DE FOTOPIMERO PARA IMPRESION
46679,BASE DE BEBIDA GASIFICADA ORO (EXPORTACION) BG-MX-120317/1U PT
46764,TAPA DE ALUMINIO (8 OZ) COD10669
46792,BASE DE BEBIDA GASIFICADA MANDARINA AURRERA BG-MX-034/2U PT
46820,BASE DE BEBIDA FANTASY BE-MX-120321/1U PT
47863,BASE DE BEBIDA FRESH NARANJA BG-MX-130326/2U  PT
47963,COLOMEX 3.5 LTS
48077,"POLY STRECH (PELICULA ESTIRABLE) 20"""
48708,BASE DE BEBIDA BIG CITRUS MANZANA PUNCH BF-MX- 130335/1U PT
49269,TINTA COLOR NEGRO JETNESS II CLAVE L701-7709 (PRESENTACION 17 KG)
49270,ESTABILIZADOR PE CLAVE TL22800036 (PRESENTACION 17 KG)
47869,BASE DE BEBIDA FRESH LIMA LIMON BG-MX-130329/2U PT
48218,BASE DE BEBIDA GASIFICADA BIG FRESH TORONJA  BG-MX-130332/2U PT
48887,BASE DE BEBIDA CITRUS PUNCH BF-MX- 130336/1U  PT
49258,TINTA COLOR RUBI CLAVE L712-3403 (PRESENTACION 17 KG)
49259,TINTA COLOR RODAMINA FUGAZ CLAVE L712-3404 (PRESENTACION 17 KG)
49260,TINTA COLOR AZUL PROCESO CLAVE L712-4407 (PRESENTACION 17 KG)
49342,TINTA COLOR  AMARILLO CLAVEL-701-1620 (PRESENTACION 17 KG)
49343,TINTA COLOR AZUL PROCESO CLAVEL-701-4620  (PRESENTACION 17 KG)
50015,JARABE TERMINADO PI¥A AURRERA
50017,JARABE TERMINADO PONCHE DE FRUTAS
50075,BASE DE BEBIDA DE BEBIDA MANGO NARANJA BF-MX-130337/1U PT
46757,VITAMINA COD 20203
46760,ACIDULANTE CS COD279
46790,BASE DE BEBIDA GASIFICADA PI¥A AURRERA BG-MX-033/2U PT
47865,BASE DE BEBIDA FRESH TORONJA BG-MX-130327/2U PT
47867,BASE DE BEBIDA FRESH MANZANA ROJA BG-MX-130328/2U PT
48151,TAPA PLASTICA ROJA CORTA GRABADO AJE PT
48153,TAPA PLASTICA NARANJA CORTA GRABADO AJE PT
48220,BASE DE BEBIDA GASIFICADA BIG FRESH LIMA LIMON BG-MX-130333/2U PT
47837,PREFORMA DE 18.3 GRS AGUA CRISTAL CUELLO CORVAGLIA INYECCION (14040) PT
47853,PREFORMA DE 18.3 GRS CRISTAL CUELLO CORVAGLIA INYECCION (14040) PT
47871,BASE DE BEBIDA FRESH PI¥A BG-MX-130330/2U PT
47938,EXHIBIDOR COLOR ROJO 3 NIVELES PRODUCTO TERMINADO
48075,CHAROLA NEW MIX VAMPIRO 24 - 473 ML / 16 OZ
48078,TARIMA DE MADERA NUEVA 1.00 X 1.20 MT 4 POLINES
48192,JARABE TERM NEW MIX SANGRITA TEQUILA
49268,TINTA COLOR BLANCO CLAVE L712-0110 (PRESENTACION 20 KG)
49278,ROLLO DE STICKY BACK
49344,TINTA COLOR ROJO RUBI CLAVEL-701-3630 (PRESENTACION 17KG)
49377,EXTENDER CLAVE L701-0030(PRESENTACION 17KG)
50014,JARABE TERMINADO MANDARINA AURRERA
50359,BASE DE BEBIDA SABOR MANZANA BM-MX-038/2U PT
61880,BOBINA IMPRESA Y CORTADA EXTREME SOUR APPLE M4593 MP
62177,BASE DE BEBIDA GASIFICADA UVA  BG-MX-150428
62197,TAPA PLASTICA VERDE LIMONADA (ALASKA) PT
62405,BOBINA IMPRESA Y CORTADA 4PC N&L GRAPE M3477 MP
62409,BOBINA IMPRESA Y CORTADA 6PC N&L APPLE M3456 MP
32654,PREFORMA DE 19 GRS CRISTAL CON UV PT-INYECCION
32990,PREFORMA DE 15.5 GRS CRISTAL CON UV MP (MAQUILA)
32991,PREFORMA DE 15.5 GRS CRISTAL CON UV PT (MAQUILA)
33065,PREFORMA DE 40.5 GRS CRISTAL (MAQUILA)
33067,PREFORMA DE 50.5 GRS CRISTAL (MAQUILA)
33337,PREFORMA DE 22 GRS CRISTAL CON UV PT-INYECCION
33967,PREFORMA DE 58 GRS CRISTAL CON UV PT INYECCION
36980,PREFORMA DE 58.15 GRS CRISTAL (6240 PZAS) MATERIA PRIMA (MAQUILA)
37163,PREFORMA DE 40.8 GRS CRISTAL (7000 PZS) PRODUCTO TERMINADO (MAQUILA)
38337,PREFORMA DE 56.15 GRS CRISTAL (5808 PZAS) PRODUCTO TERMINADO (MAQUILA)
